Time,Fz,Mx,My,CoPx,CoPy
0.000000,1104.390826,-14.238791,-51.003581,0.046183,-0.012893
0.001000,1105.193926,-14.239631,-51.004391,0.046150,-0.012884
0.002000,1104.390826,-14.238791,-51.003581,0.046183,-0.012893
0.003000,1104.391776,-14.584581,-51.226271,0.046384,-0.013206
0.004000,1104.392326,-14.239401,-51.226661,0.046384,-0.012893
0.005000,1104.391166,-13.895721,-51.003471,0.046182,-0.012582
0.006000,1105.596606,-14.066711,-51.116781,0.046235,-0.012723
0.007000,1105.596606,-14.066711,-51.116781,0.046235,-0.012723
0.008000,1104.793296,-14.067981,-51.115471,0.046267,-0.012734
0.009000,1103.990196,-14.067141,-51.114661,0.046300,-0.012742
0.010000,1103.186546,-14.411481,-51.113461,0.046333,-0.013064
0.011000,1101.578426,-14.413411,-50.887761,0.046195,-0.013084
0.012000,1101.176296,-14.241151,-50.775761,0.046110,-0.012933
0.013000,1099.972016,-14.413841,-50.885641,0.046261,-0.013104
0.014000,1099.168916,-14.413001,-50.884831,0.046294,-0.013113
0.015000,1097.964976,-14.242621,-50.994601,0.046445,-0.012972
0.016000,1097.964976,-14.242621,-50.994601,0.046445,-0.012972
0.017000,1098.365606,-14.414271,-50.883521,0.046327,-0.013123
0.018000,1097.159826,-14.586351,-50.770321,0.046274,-0.013295
0.019000,1096.356516,-14.587621,-50.769011,0.046307,-0.013306
0.020000,1094.750106,-14.588051,-50.766891,0.046373,-0.013325
0.021000,1094.349476,-14.416401,-50.877971,0.046492,-0.013173
0.022000,1093.546376,-14.415561,-50.877161,0.046525,-0.013182
0.023000,1093.947006,-14.587211,-50.766081,0.046406,-0.013334
0.024000,1092.340936,-14.244571,-50.763851,0.046473,-0.013040
0.025000,1090.733366,-13.901321,-50.538541,0.046334,-0.012745
0.026000,1088.725436,-14.418351,-50.647221,0.046520,-0.013243
0.027000,1087.119026,-14.418781,-50.645101,0.046587,-0.013263
0.028000,1084.708356,-14.074691,-50.418981,0.046482,-0.012976
0.029000,1083.103106,-14.418801,-50.640051,0.046755,-0.013312
0.030000,1082.700426,-14.591721,-50.527661,0.046668,-0.013477
0.031000,1081.092306,-14.593651,-50.301961,0.046529,-0.013499
0.032000,1079.888576,-14.421161,-50.412231,0.046683,-0.013354
0.033000,1080.291256,-14.248241,-50.524621,0.046769,-0.013189
0.034000,1080.292756,-14.248851,-50.747701,0.046976,-0.013190
0.035000,1079.086976,-14.420931,-50.634501,0.046923,-0.013364
0.036000,1079.086976,-14.420931,-50.634501,0.046923,-0.013364
0.037000,1077.480566,-14.421361,-50.632381,0.046991,-0.013384
0.038000,1077.077886,-14.594281,-50.519991,0.046905,-0.013550
0.039000,1076.274236,-14.938621,-50.518791,0.046939,-0.013880
0.040000,1076.677256,-14.422631,-50.631071,0.047025,-0.013396
0.041000,1075.873606,-14.766971,-50.629871,0.047059,-0.013726
0.042000,1073.866226,-14.938820,-50.738941,0.047249,-0.013911
0.043000,1073.062916,-14.940090,-50.737631,0.047283,-0.013923
0.044000,1072.662286,-14.768440,-50.848711,0.047404,-0.013768
0.045000,1071.055876,-14.768870,-50.846591,0.047473,-0.013789
0.046000,1069.449466,-14.769300,-50.844471,0.047543,-0.013810
0.047000,1069.450626,-15.112980,-51.067661,0.047751,-0.014132
0.048000,1067.843056,-14.769730,-50.842351,0.047612,-0.013831
0.049000,1067.844556,-14.770340,-51.065431,0.047821,-0.013832
0.050000,1068.246686,-14.942600,-51.177431,0.047908,-0.013988
0.051000,1067.846056,-14.770950,-51.288511,0.048030,-0.013832
0.052000,1066.640616,-14.599960,-51.175201,0.047978,-0.013688
0.053000,1066.241146,-14.771990,-51.509471,0.048309,-0.013854
0.054000,1066.241146,-14.771990,-51.509471,0.048309,-0.013854
