Time,Fz
0,806.348493
0.002,807.153303
0.004,807.554273
0.006,807.956403
0.008,808.357033
0.01,807.555983
0.012,808.355533
0.014,807.956613
0.016,808.357033
0.018,808.358743
0.02,807.956613
0.022,807.553933
0.024,808.357583
0.026,808.359293
0.028,808.759923
0.03,807.956613
0.032,808.358133
0.034,808.758763
0.036,808.357793
0.038,808.760263
0.04,808.760263
0.042,809.160893
0.044,809.160893
0.046,809.563573
0.048,808.759923
0.05,808.759923
0.052,809.563573
0.054,809.160893
0.056,809.563573
0.058,809.563023
0.06,809.564733
0.062,809.563573
0.064,809.564733
0.066,809.563023
0.068,809.965703
0.07,810.364623
0.072,809.563023
0.074,809.965703
0.076,810.770513
0.078,810.366333
0.08,809.965703
0.082,810.366333
0.084,809.564733
0.086,810.366333
0.088,809.563023
0.09,809.564733
0.092,810.367833
0.094,810.770513
0.096,810.768803
0.098,810.366333
0.1,810.366673
0.102,810.366333
0.104,809.965703
0.106,810.367833
0.108,810.366333
0.11,809.563023
0.112,809.564733
0.114,810.367833
0.116,810.366333
0.118,809.965703
0.12,810.366333
0.122,809.162603
0.124,809.963653
0.126,810.768463
0.128,810.367833
0.13,809.965703
0.132,809.562683
0.134,809.563023
0.136,810.366333
0.138,809.564733
0.14,809.963653
0.142,810.366333
0.144,810.367493
0.146,810.365783
0.148,809.965363
0.15,809.965363
0.152,809.162053
0.154,809.562683
0.156,809.562683
0.158,809.162053
0.16,809.965363
0.162,809.562683
0.164,809.161713
0.166,809.161713
0.168,809.562683
0.17,809.161713
0.172,809.562683
0.174,809.562683
0.176,809.161713
0.178,809.161713
0.18,808.759033
0.182,808.759033
0.184,808.759033
0.186,807.957433
0.188,808.759033
0.19,808.357853
0.192,808.356353
0.194,807.955723
0.196,807.957433
0.198,808.358403
0.2,808.358063
0.202,807.553043
0.204,807.956883
0.206,808.758483
0.208,808.758483
0.21,808.758483
0.212,808.355803
0.214,807.955173
0.216,807.554203
0.218,808.355803
0.22,808.357513
0.222,808.355803
0.224,808.758483
0.226,809.160613
0.228,808.759983
0.23,807.954623
0.232,808.757933
0.234,808.757933
0.236,808.757933
0.238,808.757933
0.24,809.562743
0.242,809.964873
0.244,809.561033
0.246,809.562193
0.248,809.561033
0.25,809.562193
0.252,809.161223
0.254,809.963163
0.256,809.562193
0.258,809.562193
0.26,809.562193
0.262,809.964323
0.264,809.159513
0.266,808.758543
0.268,809.161223
0.27,809.159513
0.272,809.964323
0.274,810.366453
0.276,810.767083
0.278,811.168053
0.28,810.364403
0.282,811.169553
0.284,811.171263
0.286,811.571893
0.288,812.374993
0.29,811.573053
0.292,811.974573
0.294,811.974023
0.296,812.374993
0.298,811.170373
0.3,811.974023
0.302,811.973473
0.304,811.170373
0.306,811.571343
0.308,812.374103
0.31,812.376153
0.312,811.973473
0.314,811.172423
0.316,811.572503
0.318,811.171873
0.32,811.169823
0.322,811.570793
0.324,811.171873
0.326,810.769743
0.328,811.572503
0.33,811.170163
0.332,809.964383
0.334,809.563413
0.336,809.563413
0.338,809.561703
0.34,809.563753
0.342,809.162783
0.344,809.162783
0.346,808.760103
0.348,808.359473
0.35,807.553163
0.352,807.554663
0.354,806.751563
0.356,807.554663
0.358,807.153693
0.36,806.350933
0.362,806.751563
0.364,806.349223
0.366,806.350933
0.368,805.547623
0.37,805.948253
0.372,805.948253
0.374,805.947093
0.376,805.948253
0.378,806.751903
0.38,805.548173
0.382,805.948803
0.384,805.950303
0.386,806.351273
0.388,806.351273
0.39,807.152533
0.392,807.556713
0.394,806.753953
0.396,807.156083
0.398,807.557263
0.4,807.556713
0.402,807.154583
0.404,807.959733
0.406,807.557263
0.408,807.959733
0.41,808.763043
0.412,807.557263
0.414,807.557263
0.416,807.557263
0.418,807.154923
0.42,806.754503
0.422,807.559313
0.424,807.961443
0.426,807.559863
0.428,807.960283
0.43,807.559313
0.432,807.557813
0.434,807.557813
0.436,807.959333
0.438,807.157733
0.44,807.960493
0.442,807.961043
0.444,807.158283
0.446,807.961043
0.448,807.558913
0.45,807.156233
0.452,806.756153
0.454,807.158283
0.456,808.362563
0.458,807.560623
0.46,808.764903
0.462,807.961253
0.464,808.764903
0.466,808.764903
0.468,809.165533
0.47,808.364483
0.472,808.763403
0.474,809.167793
0.476,808.765113
0.478,809.168133
0.48,808.765113
0.482,808.362983
0.484,808.765663
0.486,808.763953
0.488,808.764163
0.49,808.764163
0.492,809.166633
0.494,808.363533
0.496,808.764163
0.498,807.560433
0.5,807.960853
0.502,807.961403
0.504,807.961403
0.506,807.558933
0.508,807.158303
0.51,807.559273
0.512,807.157753
0.514,806.756173
0.516,805.952863
0.518,805.550183
0.52,805.150103
0.522,805.550733
0.524,805.953203
0.526,804.747423
0.528,805.550183
0.53,805.150103
0.532,804.747423
0.534,803.943773
0.536,805.151603
0.538,804.747423
0.54,805.148053
0.542,804.747423
0.544,804.344743
0.546,804.747763
0.548,803.944663
0.55,804.345083
0.552,804.343033
0.554,803.942403
0.556,804.746053
0.558,804.745713
0.56,804.345083
0.562,803.942403
0.564,803.943903
0.566,803.541433
0.568,803.541773
0.57,803.541773
0.572,802.738123
0.574,803.138543
0.576,803.541223
0.578,803.139093
0.58,802.334283
0.582,802.738123
0.584,801.933653
0.586,801.532683
0.588,802.335783
0.59,803.137383
0.592,802.736413
0.594,802.335443
0.596,801.931603
0.598,801.933313
0.6,801.532683
0.602,801.933313
0.604,801.933653
0.606,802.334283
0.608,802.334283
0.61,801.933313
0.612,801.932973
0.614,801.130213
0.616,801.128163
0.618,801.531183
0.62,801.932023
0.622,801.530843
0.624,801.931813
0.626,802.334153
0.628,801.933523
0.63,801.933183
0.632,801.932023
0.634,800.727743
0.636,801.128923
0.638,801.531393
0.64,801.531053
0.642,801.531603
0.644,801.130973
0.646,801.130973
0.648,801.127423
0.65,800.728503
0.652,800.726453
0.654,801.129473
0.656,800.726453
0.658,799.924853
0.66,800.324323
0.662,799.120593
0.664,798.719623
0.666,798.717573
0.668,799.120593
0.67,798.720173
0.672,798.318993
0.674,799.121143
0.676,798.720173
0.678,798.318043
0.68,798.718463
0.682,798.315993
0.684,797.513233
0.686,798.318043
0.688,797.915913
0.69,798.318593
0.692,798.719223
0.694,798.316543
0.696,797.915913
0.698,797.513783
0.7,797.513783
0.702,797.513783
0.704,797.915913
0.706,797.915913
0.708,798.318593
0.71,797.915913
0.712,797.514123
0.714,797.513783
0.716,797.113153
0.718,797.514123
0.72,797.113493
0.722,796.710473
0.724,796.708973
0.726,796.308343
0.728,796.308343
0.73,795.507083
0.732,795.907713
0.734,794.301853
0.736,794.702273
0.738,794.702273
0.74,793.899173
0.742,795.102903
0.744,793.897463
0.746,794.299593
0.748,793.094363
0.75,793.094363
0.752,793.094363
0.754,792.691683
0.756,792.291053
0.758,792.292213
0.76,791.890633
0.762,792.291053
0.764,791.888583
0.766,791.888583
0.768,791.888583
0.77,791.084323
0.772,791.486453
0.774,791.084323
0.776,790.681643
0.778,790.683693
0.78,790.681643
0.782,789.878543
0.784,789.878543
0.786,788.673103
0.788,788.272133
0.79,787.869453
0.792,788.671603
0.794,788.272133
0.796,787.467323
0.798,787.465613
0.8,787.064643
0.802,787.064643
0.804,787.466773
0.806,787.064643
0.808,787.064643
0.81,788.270083
0.812,787.867403
0.814,787.464723
0.816,787.062593
0.818,786.663123
0.82,787.064093
0.822,786.661413
0.824,787.464723
0.826,786.662573
0.828,786.659363
0.83,786.258393
0.832,786.659363
0.834,786.256683
0.836,785.052953
0.838,785.856053
0.84,785.051243
0.842,785.051243
0.844,784.249643
0.846,784.245883
0.848,783.843753
0.85,783.843203
0.852,783.040443
0.854,782.639473
0.856,782.637763
0.858,782.637213
0.86,782.637763
0.862,782.637213
0.864,783.036133
0.866,782.635163
0.868,782.232823
0.87,782.634953
0.872,782.232823
0.874,782.232273
0.876,782.633243
0.878,782.230563
0.88,782.632903
0.882,781.829593
0.884,781.827883
0.886,781.023073
